"Search Parameters"	"Year"	"Mo"	"Dy"	"Tsu"	"Eq"	"Name"	"Location"	"Country"	"Latitude"	"Longitude"	"Elevation (m)"	"Type"	"VEI"	"Agent"	"Deaths"	"Death Description"	"Missing"	"Missing Description"	"Injuries"	"Injuries Description"	"Damage ($Mil)"	"Damage Description"	"Houses Destroyed"	"Houses Destroyed Description"	"Total Deaths"	"Total Death Description"	"Total Missing"	"Total Missing Description"	"Total Injuries"	"Total Injuries Description"	"Total Damage ($Mil)"	"Total Damage Description"	"Total Houses Destroyed"	"Total Houses Destroyed Description"
	1982	3	29		7221	"Chichon, El"	"Mexico"	"Mexico"	17.36	-93.228	1150	"Tuff cone"	5	"P,T,M,S"	1879	4	1755	4			3.3	2			1879	4	1755	4			3.3	2		
	1982	4	4			"Chichon, El"	"Mexico"	"Mexico"	17.36	-93.228	1150	"Tuff cone"	5	"P"	33	1									33	1								
	1982	5	17			"Galunggung"	"Java"	"Indonesia"	-7.25	108.058	2168	"Stratovolcano"	4	"I,T"	68	2					15	3			68	2					15	3		
	1982	5	27			"Chichon, El"	"Mexico"	"Mexico"	17.36	-93.228	1150	"Tuff cone"	5	"m"	1	1									1	1								
	1983	3	8			"Klyuchevskoy"	"Kamchatka"	"Russia"	56.056	160.642	4754	"Stratovolcano"	2	"T"	1	1									1	1								
	1984	8	15	5807		"Oku Volcanic Field"	"Africa-W"	"Cameroon"	6.25	10.5	3011	"Maar"		"G"	37	1									37	1								
	1984	9	9			"Mayon"	"Luzon-Philippines"	"Philippines"	13.257	123.685	2462	"Stratovolcano"	3	"M"	1	1									1	1								
	1984	9	14			"Ontakesan"	"Honshu-Japan"	"Japan"	35.893	137.48	3067	"Complex volcano"		"A"	29	1									29	1								
	1984	10	16			"Etna"	"Italy"	"Italy"	37.748	14.999	3357	"Stratovolcano"	3	"S"	1	1									1	1								
	1985	5	10			"Semeru"	"Java"	"Indonesia"	-8.108	112.922	3657	"Stratovolcano"	3	"A"	70	2									70	2								
	1985	11	13			"Ruiz, Nevado del"	"Colombia"	"Colombia"	4.892	-75.324	5279	"Stratovolcano"	3	"M"	23080	4			10000	4					23080	4			10000	4				
	1985	12	19			"Etna"	"Italy"	"Italy"	37.748	14.999	3357	"Stratovolcano"	1	"S"	1	1									1	1								
	1986	5	8			"Akita-Yakeyama"	"Honshu-Japan"	"Japan"	39.964	140.757	1366	"Complex volcano"		"G"	1	1									1	1								
	1986	7	24			"Stromboli"	"Italy"	"Italy"	38.789	15.213	924	"Stratovolcano"	2	"T"	1	1									1	1								
	1986	8	21	5808		"Oku Volcanic Field"	"Africa-W"	"Cameroon"	6.25	10.5	3011	"Maar"	3	"G"	1700	4			300	3					1700	4			300	3				
	1986	10	15			"Merapi"	"Java"	"Indonesia"	-7.54	110.446	2910	"Stratovolcano"	2	"M"	1	1									1	1								
	1986	11	15			"Izu-Oshima"	"Izu Is-Japan"	"Japan"	34.724	139.394	746	"Stratovolcano"	3	"I"	1	1									1	1								
	1987	4	17			"Etna"	"Italy"	"Italy"	37.748	14.999	3357	"Stratovolcano"	2	"T"	2	1			7	1					2	1			7	1				
	1988	5	9			"Banda Api"	"Banda Sea"	"Pacific Ocean"	-4.523	129.881	596	"Caldera"	3	"T,L"	4	1									4	1								
	1988	7	6			"Arenal"	"Costa Rica"	"Costa Rica"	10.463	-84.703	1670	"Stratovolcano"	3	"T"	1	1									1	1								
	1988	7	30			"Semeru"	"Java"	"Indonesia"	-8.108	112.922	3657	"Stratovolcano"	3	"T"	1	1									1	1								
	1988	12	25			"Lonquimay"	"Chile-C"	"Chile"	-38.379	-71.586	2832	"Stratovolcano"	3	"T"	1	1									1	1								
	1988					"Akita-Yakeyama"	"Honshu-Japan"	"Japan"	39.964	140.757	1366	"Complex volcano"		"I"	3	1									3	1								
	1989	2	12			"Asosan"	"Kyushu-Japan"	"Japan"	32.884	131.104	1592	"Caldera"		"G"	1	1									1	1								
	1989	8	26			"Kirishimayama"	"Kyushu-Japan"	"Japan"	31.934	130.862	1700	"Shield volcano"		"G"	2	1									2	1								
	1990	2	10			"Kelud"	"Java"	"Indonesia"	-7.935	112.314	1730	"Stratovolcano"	4	"T,P"	32	1									32	1								
	1990	3	26			"Asosan"	"Kyushu-Japan"	"Japan"	32.884	131.104	1592	"Caldera"	2	"G"	1	1									1	1								
	1990	4	18			"Asosan"	"Kyushu-Japan"	"Japan"	32.884	131.104	1592	"Caldera"	2	"G"	1	1									1	1								
	1990	6	24			"Rabaul"	"New Britain-SW Pac"	"Papua New Guinea"	-4.271	152.203	688	"Pyroclastic shield"		"G"	6	1									6	1								
	1990	7	19			"Santa Maria"	"Guatemala"	"Guatemala"	14.757	-91.552	3745	"Stratovolcano"	3	"T"	4	1									4	1								
	1990	10	19			"Asosan"	"Kyushu-Japan"	"Japan"	32.884	131.104	1592	"Caldera"	2	"G"	1	1									1	1								
	1990	11	21			"Nyiragongo"	"Africa-C"	"Congo, DRC"	-1.52	29.25	3470	"Stratovolcano"		"S"	1	1									1	1								
	1990	11	25			"Kelud"	"Java"	"Indonesia"	-7.935	112.314	1730	"Stratovolcano"		"m"	4	1									4	1								
	1991	6	3			"Unzendake"	"Kyushu-Japan"	"Japan"	32.761	130.299	1483	"Complex volcano"	1	"P"	43	1									43	1								
	1991	6	15		5292	"Pinatubo"	"Luzon-Philippines"	"Philippines"	15.13	120.35	1486	"Stratovolcano"	6	"P,m,I"	350	3			4	1		3			800	3			4	1		3		
	1991	6				"Mutnovsky"	"Kamchatka"	"Russia"	52.449	158.196	2288	"Complex volcano"		"I"	1	1									1	1								
	1991	10	24			"Lokon-Empung"	"Sulawesi-Indonesia"	"Indonesia"	1.358	124.792	1580	"Stratovolcano"	1	"T,P"	1	1									1	1								
	1992	1	21			"Karangetang"	"Sangihe Is-Indonesia"	"Indonesia"	2.781	125.407	1797	"Stratovolcano"	2	"M"	2	1									2	1								
	1992	3	18			"Dieng Volcanic Complex"	"Java"	"Indonesia"	-7.2	109.879	2565	"Complex volcano"		"G"	1	1			2	1					1	1			2	1				
	1992	4	10			"Negro, Cerro"	"Nicaragua"	"Nicaragua"	12.506	-86.702	728	"Cinder cone"	3	"T,I"	11	1			50	1	3	2		1	11	1			50	1	3	2		1
	1992	5	11			"Karangetang"	"Sangihe Is-Indonesia"	"Indonesia"	2.781	125.407	1797	"Stratovolcano"	1	"P"	6	1			1	1					6	1			1	1				
	1992	7	5			"Marapi"	"Sumatra"	"Indonesia"	-0.38	100.474	2885	"Complex volcano"	2	"T"	1	1			5	1					1	1			5	1				
	1992	7	12			"Pinatubo"	"Luzon-Philippines"	"Philippines"	15.13	120.35	1486	"Stratovolcano"	1	"m"	6	1									6	1								
	1992	9	17			"Spurr"	"Alaska-SW"	"United States"	61.299	-152.251	3374	"Stratovolcano"	4	"I"	1	1					2	2			1	1					2	2		
	1992					"Semeru"	"Java"	"Indonesia"	-8.108	112.922	3657	"Stratovolcano"	3	"T"	3	1									3	1								
	1993	1	14			"Galeras"	"Colombia"	"Colombia"	1.22	-77.37	4276	"Complex volcano"	2	"T"	9	1									9	1								
	1993	1	21			"Wurlali"	"Banda Sea"	"Indonesia"	-7.125	128.675	868	"Stratovolcano"		"m"	1	1			12	1					1	1			12	1				
	1993	2	2			"Mayon"	"Luzon-Philippines"	"Philippines"	13.257	123.685	2462	"Stratovolcano"	2	"P"	75	2									75	2								
	1993	3	12			"Guagua Pichincha"	"Ecuador"	"Ecuador"	-0.171	-78.598	4784	"Stratovolcano"	1	"T"	2	1									2	1								
	1993	4	19			"Kilauea"	"Hawaiian Is"	"United States"	19.421	-155.287	1222	"Shield volcano"		"A"	1	1			22	1					1	1			22	1				
	1993	6	13			"Krakatau"	"Indonesia"	"Indonesia"	-6.102	105.423	155	"Caldera"	1	"T"	1	1			5	1					1	1			5	1				
	1993	6	23			"Unzendake"	"Kyushu-Japan"	"Japan"	32.761	130.299	1483	"Complex volcano"	1	"P"	1	1								1	1	1								1
	1993	6	26			"Pinatubo"	"Luzon-Philippines"	"Philippines"	15.13	120.35	1486	"Stratovolcano"	1	"m"	4	1									4	1								
	1993	10	4			"Pinatubo"	"Luzon-Philippines"	"Philippines"	15.13	120.35	1486	"Stratovolcano"		"m"	14	1									14	1								
	1994	1	15			"Yasur"	"Vanuatu-SW Pacific"	"Vanuatu"	-19.532	169.447	361	"Stratovolcano"	3	"T"	1	1									1	1								
	1994	2	3			"Semeru"	"Java"	"Indonesia"	-8.108	112.922	3657	"Stratovolcano"	3	"P"	6	1									6	1								
	1994	5	29			"Asosan"	"Kyushu-Japan"	"Japan"	32.884	131.104	1592	"Caldera"	1	"G"	1	1									1	1								
	1994	9	19	2229		"Rabaul"	"New Britain-SW Pac"	"Papua New Guinea"	-4.271	152.203	688	"Pyroclastic shield"	3	"T,W"	4	1					86	4			4	1					86	4		1
	1994	11	3			"Rinjani"	"Lesser Sunda Is"	"Indonesia"	-8.42	116.47	3726	"Stratovolcano"	3	"m"	31	1									31	1								
	1994	11	22			"Merapi"	"Java"	"Indonesia"	-7.54	110.446	2910	"Stratovolcano"	3		60	2									60	2								
	1995	2	4			"Yasur"	"Vanuatu-SW Pacific"	"Vanuatu"	-19.532	169.447	361	"Stratovolcano"	3	"T"	2	1									2	1								
	1995	2	11			"Yakedake"	"Honshu-Japan"	"Japan"	36.227	137.587	2455	"Stratovolcano"	1	"T"	4	1									4	1								
	1995	4	7			"Pacaya"	"Guatemala"	"Guatemala"	14.382	-90.601	2569	"Complex volcano"	3	"M"	1	1						1	1	1	1	1						1	1	1
	1995	5	15			"Kelimutu"	"Lesser Sunda Is"	"Indonesia"	-8.77	121.82	1639	"Complex volcano"			1	1									1	1								
	1995	9	6			"Melebingoy"	"Mindanao-Philippines"	"Philippines"	6.113	124.892	1824	"Stratovolcano"			60	2						2	300	3	60	2						2	300	3
	1996	4	30			"Popocatepetl"	"Mexico"	"Mexico"	19.023	-98.622	5393	"Stratovolcano"	3		5	1						1			5	1						1		
	1996	8	10			"Kanlaon"	"Philippines-C"	"Philippines"	10.412	123.132	2435	"Stratovolcano"	2	"T"	3	1			18	1					3	1			18	1				
	1996	9	27			"Maderas"	"Nicaragua"	"Nicaragua"	11.446	-85.515	1394	"Stratovolcano"		"m"	6	1				1					6	1				1				
	1996	12	3			"Manam"	"New Guinea-NE of"	"Papua New Guinea"	-4.08	145.037	1807	"Stratovolcano"	3	"P"	13	1			29	1					13	1			29	1				
	1997	1	14			"Merapi"	"Java"	"Indonesia"	-7.54	110.446	2910	"Stratovolcano"	2		6	1				1					6	1				1				
	1997	4	17			"Karangetang"	"Sangihe Is-Indonesia"	"Indonesia"	2.781	125.407	1797	"Stratovolcano"	1	"P"	3	1									3	1								
	1997	6	25			"Soufriere Hills"	"W Indies"	"Montserrat"	16.72	-62.18	915	"Stratovolcano"	3	"P"	22	1	1								22	1								
	1997	7	12			"Hakkodasan"	"Honshu-Japan"	"Japan"	40.659	140.877	1585	"Stratovolcano"		"G"	3	1									3	1								
	1997	8	1			"Soufriere Hills"	"W Indies"	"Montserrat"	16.72	-62.18	915	"Stratovolcano"	3		2	1									2	1								
	1997	9	2			"Semeru"	"Java"	"Indonesia"	-8.108	112.922	3657	"Stratovolcano"	3	"T"	2	1									2	1								
	1997	9	15			"Adatarayama"	"Honshu-Japan"	"Japan"	37.647	140.281	1728	"Stratovolcano"		"G"	4	1									4	1								
	1997	11	23			"Asosan"	"Kyushu-Japan"	"Japan"	32.884	131.104	1592	"Caldera"		"G"	2	1									2	1								
	1998	4	28			"Kilauea"	"Hawaiian Is"	"United States"	19.421	-155.287	1222	"Shield volcano"		"L"	1	1																		
	1998	7				"Kelud"	"Java"	"Indonesia"	-7.935	112.314	1730	"Stratovolcano"		"m"	10	1									10	1								
	1998	10	30			"San Cristobal"	"Nicaragua"	"Nicaragua"	12.702	-87.004	1745	"Stratovolcano"		"m"	1620	4									1620	4								
	1999	10	5			"Guagua Pichincha"	"Ecuador"	"Ecuador"	-0.171	-78.598	4784	"Stratovolcano"	3	"T"	2	1									2	1								
	1999	10	16			"Tungurahua"	"Ecuador"	"Ecuador"	-1.467	-78.442	5023	"Stratovolcano"	3	"T"	1	1			4	1					1	1			4	1				
	2000	7	27			"Semeru"	"Java"	"Indonesia"	-8.108	112.922	3657	"Stratovolcano"	3	"T"	2	1									2	1								
	2000	8	23			"Arenal"	"Costa Rica"	"Costa Rica"	10.463	-84.703	1670	"Stratovolcano"	3	"P"	2	1			1	1					2	1			1	1				
	2000	11	3			"Kilauea"	"Hawaiian Is"	"United States"	19.421	-155.287	1222	"Shield volcano"		"G"	2	1									2	1								
	2000	11				"Merapi"	"Java"	"Indonesia"	-7.54	110.446	2910	"Stratovolcano"	2	"A"	1	1									1	1								
	2001	5	14			"Etna"	"Italy"	"Italy"	37.748	14.999	3357	"Stratovolcano"	3		1	1						1			1	1						1		
	2001	8	5			"Merapi"	"Java"	"Indonesia"	-7.54	110.446	2910	"Stratovolcano"	2	"P"	2	1									2	1								
	2001	10	20			"Stromboli"	"Italy"	"Italy"	38.789	15.213	924	"Stratovolcano"	2	"T"	1	1									1	1								
	2002	1	17			"Nyiragongo"	"Africa-C"	"Congo, DRC"	-1.52	29.25	3470	"Stratovolcano"	1		100	2			400	3		3		3	100	2				3		3		3
	2002					"Semeru"	"Java"	"Indonesia"	-8.108	112.922	3657	"Stratovolcano"	3	"T"	3	1									3	1								
	2004	1	29			"Egon"	"Lesser Sunda Is"	"Indonesia"	-8.676	122.455	1661	"Stratovolcano"	1	"T"	1	1									1	1								
	2004	6	8			"Tengger Caldera"	"Java"	"Indonesia"	-7.942	112.95	2329	"Stratovolcano"	2	"T"	2	1			5	1														
	2004	10	24			"Manam"	"New Guinea-NE of"	"Papua New Guinea"	-4.08	145.037	1807	"Stratovolcano"	4	"T"	5	1									5	1								
	2005	1	27			"Manam"	"New Guinea-NE of"	"Papua New Guinea"	-4.08	145.037	1807	"Stratovolcano"	4	"T"	1	1			14	1					1	1			14	1				
	2005	10	1			"Santa Ana"	"El Salvador"	"El Salvador"	13.853	-89.63	2381	"Stratovolcano"	3	"A"	2	1				1					2	1				1				
	2006	3	17			"Raoul Island"	"Kermadec Is"	"New Zealand"	-29.27	-177.92	516	"Stratovolcano"			1	1									1	1								
	2006	6	7			"Bulusan"	"Luzon-Philippines"	"Philippines"	12.769	124.056	1535	"Stratovolcano"	2		1	1									1	1								
	2006	6	14			"Merapi"	"Java"	"Indonesia"	-7.54	110.446	2910	"Stratovolcano"	1		2	1									2	1								
	2006	7	18			"Tungurahua"	"Ecuador"	"Ecuador"	-1.467	-78.442	5023	"Stratovolcano"	3		1	1									1	1								
	2006	8	17			"Tungurahua"	"Ecuador"	"Ecuador"	-1.467	-78.442	5023	"Stratovolcano"	3	"T"	5	1		2	13	1		3		3	6	1		2		2		3		3
	2006	11	30			"Mayon"	"Luzon-Philippines"	"Philippines"	13.257	123.685	2462	"Stratovolcano"	1	"m"	1266	4						1			1266	4						1		
	2007	3				"Manam"	"New Guinea-NE of"	"Papua New Guinea"	-4.08	145.037	1807	"Stratovolcano"	4	"M"	4	1			1	1					4	1			1	1				
	2007	7	7			"Salak"	"Java"	"Indonesia"	-6.716	106.733	2218	"Stratovolcano"		"G"	6	1									6	1								
	2007	9	30			"Tair, Jebel at"	"Red Sea"	"Yemen"	15.55	41.83	244	"Stratovolcano"			7	1			1	1					7	1				1				
	2008	5	2			"Chaiten"	"Chile-S"	"Chile"	-42.833	-72.646	1122	"Caldera"			1	1									1	1								
	2008	8	22			"Tungurahua"	"Ecuador"	"Ecuador"	-1.467	-78.442	5023	"Stratovolcano"	3	"M"	2	1			2	1		1	2	1	2	1			2	1		1	2	1
	2008	11	20			"Huila, Nevado del"	"Colombia"	"Colombia"	2.93	-76.03	5364	"Stratovolcano"			10	1		1		1					10	1		1		1				
	2010	3	31			"Eyjafjallajokull"	"Iceland-S"	"Iceland"	63.633	-19.633	1651	"Stratovolcano"	2		2	1									2	1								
	2010	5	27			"Pacaya"	"Guatemala"	"Guatemala"	14.382	-90.601	2569	"Complex volcano"	1	"T"	1	1	3	1				1	3	1	1	1	3	1				1	3	1
	2010	8	6			"Karangetang"	"Sangihe Is-Indonesia"	"Indonesia"	2.781	125.407	1797	"Stratovolcano"	3		4	1			5	1				1	4	1			5	1				1
	2010	8	30			"Sinabung"	"Sumatra"	"Indonesia"	3.17	98.392	2460	"Stratovolcano"			2	1									2	1								
	2010	10	26			"Merapi"	"Java"	"Indonesia"	-7.54	110.446	2910	"Stratovolcano"			367	3			277	3	600	4		3	367	3			277	3	600	4		3
	2011	1	3			"Merapi"	"Java"	"Indonesia"	-7.54	110.446	2910	"Stratovolcano"		"M"	1	1			1	1		1			1	1			1	1		1		
	2011	2	23			"Bulusan"	"Luzon-Philippines"	"Philippines"	12.769	124.056	1535	"Stratovolcano"	2		1	1									1	1								
	2011	6	22			"Nabro"	"Africa-NE"	"Eritrea"	13.37	41.7	2218	"Stratovolcano"	4		31	1				3		1			31	1				3		1		
	2011	7	17			"Lokon-Empung"	"Sulawesi-Indonesia"	"Indonesia"	1.358	124.792	1580	"Stratovolcano"			1	1									1	1								
	2011	12	27			"Gamalama"	"Halmahera-Indonesia"	"Indonesia"	0.8	127.33	1715	"Stratovolcano"	3	"m"	4	1				1					4	1				1				
	2013	2	12			"Merapi"	"Java"	"Indonesia"	-7.54	110.446	2910	"Stratovolcano"		"M"	1	1			1	1		1			1	1			1	1		1		
	2013	5	7			"Mayon"	"Luzon-Philippines"	"Philippines"	13.257	123.685	2462	"Stratovolcano"			5	1			8	1					5	1			8	1				
	2013	8	10			"Paluweh"	"Lesser Sunda Is"	"Indonesia"	-8.32	121.708	875	"Stratovolcano"	3		5	1									5	1								
	2013	12	13			"Okataina"	"New Zealand"	"New Zealand"	-38.12	176.5	1111	"Lava dome"		"G"	1	1									1	1								
	2014	2	1			"Sinabung"	"Sumatra"	"Indonesia"	3.17	98.392	2460	"Stratovolcano"			17	1			3	1		1		2	17	1			3	1		1		2
	2014	2	13			"Kelud"	"Java"	"Indonesia"	-7.935	112.314	1730	"Stratovolcano"			7	1						3	4098	4	7	1						3	4098	4
	2014	9	27			"Ontakesan"	"Honshu-Japan"	"Japan"	35.893	137.48	3067	"Complex volcano"	3		55	2			70	2					55	2			70	2				
	2014	12	18			"Gamalama"	"Halmahera-Indonesia"	"Indonesia"	0.8	127.33	1715	"Stratovolcano"			1	1			4	1					1	1			4	1				
	2015	10	16			"Sinabung"	"Sumatra"	"Indonesia"	3.17	98.392	2460	"Stratovolcano"		"M"	1	1						1			1	1						1		
	2015	10				"Okataina"	"New Zealand"	"New Zealand"	-38.12	176.5	1111	"Lava dome"		"I"	1	1									1	1								
	2016	5	9			"Sinabung"	"Sumatra"	"Indonesia"	3.17	98.392	2460	"Stratovolcano"			1	1			4	1		1	3	1	1	1			4	1		1		
	2016	5	21			"Sinabung"	"Sumatra"	"Indonesia"	3.17	98.392	2460	"Stratovolcano"			7	1			3	1	100	4			7	1			3	1	100	4		
	2016	6	9			"Yellowstone"	"US-Wyoming"	"United States"	44.43	-110.67	2805	"Caldera"			1	1									1	1								
	2017	7	1			"Dieng Volcanic Complex"	"Java"	"Indonesia"	-7.2	109.879	2565	"Complex volcano"			8	1			11	1					8	1			11	1				
	2017	9	12			"Campi Flegrei"	"Italy"	"Italy"	40.827	14.139	458	"Caldera"			3	1									3	1								
	2017	12	18			"Merapi"	"Java"	"Indonesia"	-7.54	110.446	2910	"Stratovolcano"		"A"	8	1			8	1					8	1			8	1				
	2018	1	23			"Kusatsu-Shiranesan"	"Honshu-Japan"	"Japan"	36.618	138.528	2165	"Stratovolcano"	1	"T"	1	1			11	1		1			1	1			11	1		1		
	2018	2	1			"Kilauea"	"Hawaiian Is"	"United States"	19.421	-155.287	1222	"Shield volcano"	1	"G"	1	1			3	1					1	1			3	1				
	2018	3	30			"Ambae"	"Vanuatu-SW Pacific"	"Vanuatu"	-15.389	167.835	1496	"Shield volcano"	3	"T,G,M"	4	1						2		1	4	1						2		1
	2018	6	3			"Fuego"	"Guatemala"	"Guatemala"	14.473	-90.88	3763	"Stratovolcano"	2	"P"	201	3	229	3	27	1	120	4	186	3	201	3	229	3	27	1	120	4	186	3
	2019	7	3	5913		"Stromboli"	"Italy"	"Italy"	38.789	15.213	924	"Stratovolcano"	2	"P,T,W"	1	1			1	1					1	1			1	1				
	2019	12	9			"Whakaari/White Island"	"New Zealand"	"New Zealand"	-37.52	177.18	294	"Stratovolcano"	2	"T"	22	1			25	1					22	1			25	1				
	2020	1	12			"Taal"	"Luzon-Philippines"	"Philippines"	14.002	120.993	311	"Stratovolcano"	4	"T"	39	1					67	4	4573	4	39	1					67	4	4573	4
	2020	5	29	5748	10501	"Ijen"	"Java"	"Indonesia"	-8.058	114.242	2769	"Stratovolcano"		"G,W, S"	1	1									1	1								
	2021	5	22		10545	"Nyiragongo"	"Africa-C"	"Congo, DRC"	-1.52	29.25	3470	"Stratovolcano"	2	"L,I,S"	32	1						3	5000	4	32	1						3	5000	4
	2021	9	19			"La Palma"	"Canary Is"	"Spain"	28.57	-17.83	2426	"Stratovolcano"	3	"L"	1	1					924	4	1345	4	1	1					924	4	1345	4
	2021	12	4			"Semeru"	"Java"	"Indonesia"	-8.108	112.922	3657	"Stratovolcano"	4	"T"	51	1	9	1	169	3	20	3	2970	4	45	1	9	1	169	3	20	3	2970	4
	2022	6	22			"Popocatepetl"	"Mexico"	"Mexico"	19.023	-98.622	5393	"Stratovolcano"	2	"P"	1	1									1	1								
	2023	12	3			"Marapi"	"Sumatra"	"Indonesia"	-0.38	100.474	2885	"Complex volcano"		"P,T"	23	1	0		12	1					23	1	0		12	1				
	2023	12	18			"Reykjanes"	"Iceland-SW"	"Iceland"	63.817	-22.717	140	"Crater rows"		"S,L"	1	1						2	3	1	1	1						2	3	1
	2024	4	20			"Ijen"	"Java"	"Indonesia"	-8.058	114.242	2769	"Stratovolcano"			1	1									1	1								
	2024	5	11			"Marapi"	"Sumatra"	"Indonesia"	-0.38	100.474	2885	"Complex volcano"		"M"	67	2	20	1	33	1		3	521	3	67	2	20	1	33	1		3	521	3